"address;districts;city;province;postal_code"
"Jl. Warung Buncit Raya No.448, RT.2/RW.5, Pulo;Kec. Pancoran;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12740"
"Jl. Siaga Raya No.Kav4 - 8, RT.14/RW.3, Pejaten Bar;Kec. Ps. Minggu;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12510"
"Jl. Kemang Timur No.998, RT.1/RW.3, Bangka;Kec. Mampang Prpt;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12730"
"Jl. Pinang Ranti II No.1, RT.9/RW.1, Pinang Ranti;Kec. Makasar;Kota Jakarta Timur;Daerah Khusus Ibukota Jakarta;13560"
"No.Kav. 9, Jl. Let. Jend Jl. TB Simatupang No.2, RT.2/RW.2;Kebagusan;South Jakarta City;Daerah Khusus Ibukota Jakarta;12520"
"Jl. Raya Condet No.13A, RT.13/RW.4, Batu Ampar;Kec. Kramat jati;Kota Jakarta Timur;Daerah Khusus Ibukota Jakarta;13520"
"14, Jl. Raya Tengah No.14, RT.14/RW.3, Kp. Tengah;Kec. Kramat jati;Kota Jakarta Timur;Daerah Khusus Ibukota Jakarta;13540"
"Jl. Kemang Raya No.10, RW.1, Bangka;Kec. Mampang Prpt;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12730"
"Jl. Halim Perdana Kusuma No.1, RW.9, Halim Perdana Kusumah;Kec. Makasar;Kota Jakarta Timur;Daerah Khusus Ibukota Jakarta;13610"
"Jl. Raya Condet No.1, RT.5/RW.4, Balekambang;Kec. Kramat jati;Kota Jakarta Timur;Daerah Khusus Ibukota Jakarta;13530"
"Jl. Q Jl. Rw. Bambu I No.5, RT.13/RW.6, Ps. Minggu;Kec. Ps. Minggu;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12520"
"Jl. H. Muchtar 16, RT.8/RW.3, Duri Kosambi;Kecamatan Cengkareng;Kota Jakarta Barat;Daerah Khusus Ibukota Jakarta;11750"
"Jl. Warung Buncit Raya No.21, RT.1/RW.11, Ragunan;Kec. Ps. Minggu;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12510"
"Jalan Ragunan, Pasar Minggu, RT.2/RW.5;Jati Padang;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12540"
"Jl. Raya Pasar Minggu No.Kav.16, RT.7/RW.9, Pancoran;Kec. Pancoran;Kota Jakarta Selatan;Daerah Khusus Ibukota Jakarta;12780"
"Jl. Bintaro Utama 3A No.81, Pd. Karya;Kec. Pd. Aren;Kota Tangerang Selatan;Banten;15225"
"Jl. Cinere Raya No.38, RW.6, Cinere;Kec. Cinere;Kota Depok;Jawa Barat;16514"
"Jl. Jakarta, Cinere;Kec. Cinere;Kota Depok;Jawa Barat;16514"
"Jl. Raffles Hills Blk. H No.1, Sukatani;Kec. Tapos;Kota Depok;Jawa Barat;16454"
"16, Jl. Raya Narogong No.KM, RW.5, Limus Nungga;Kec. Cileungsi;Bogor;Jawa Barat;16770"
"Jl. Wibawa Mukti II No.4, RT.001/RW.5, Jatiasih;Kec. Jatiasih;Kota Bks;Jawa Barat;17423"
"Jl. Taman Kebon Sirih 1 No.3 - 4, RW.10, Kp. Bali;Kecamatan Tanah Abang;Kota Jakarta Pusat;Daerah Khusus Ibukota Jakarta;10250"
"Jl. Kramat Pulo No.45, RW.2, Kramat;Kec. Senen;Kota Jakarta Pusat;Daerah Khusus Ibukota Jakarta;10450"
"Jl. Kramat Pulo No.23B, RT.4/RW.2, Kramat;Kec. Senen;Kota Jakarta Pusat;Daerah Khusus Ibukota Jakarta;12220"
"Jl. Puri Indah Raya, RT.1/RW.8, Kembangan Sel;Kec. Kembangan;Kota Jakarta Barat;Daerah Khusus Ibukota Jakarta;11610"
"Green Lake City Ruko Food City No.22, Duri Kosambi;Kecamatan Cengkareng;Kota Jakarta Barat;Daerah Khusus Ibukota Jakarta;11750"
"Jl. Thamrin, RT.001/RW.005, Ketapang;Kec. Cipondoh;Kota Tangerang;Banten;15147"
